Age,MonthlyIncome,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,5993.0,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1.0,2,Female,94,3,2,Sales Executive,4,Single,19479.0,8,Yes,11.0,3.0,1,0,8,0,1,6,4,0,5
49,,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2.0,3,Male,61,2,2,Research Scientist,2,Married,24907.0,1,No,23.0,4.0,4,1,10,3,3,10,7,1,7
37,2090.0,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4.0,4,Male,92,2,1,Laboratory Technician,3,Single,2396.0,6,Yes,15.0,3.0,2,0,7,3,3,0,0,0,0
33,2909.0,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5.0,4,Female,56,3,1,Research Scientist,3,Married,23159.0,1,Yes,11.0,3.0,3,0,8,3,3,8,7,3,0
27,3468.0,No,Travel_Rarely,591,Research & Development,2,1,Medical,7.0,1,Male,40,3,1,Laboratory Technician,2,Married,16632.0,9,No,12.0,3.0,4,1,6,3,3,2,2,2,2
32,3068.0,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8.0,4,Male,79,3,1,Laboratory Technician,4,Single,11864.0,0,No,13.0,3.0,3,0,8,2,2,7,7,3,6
59,,No,Travel_Rarely,1324,Research & Development,3,3,,,3,,81,4,1,,1,Married,9964.0,4,Yes,,,1,3,12,3,2,1,0,0,0
30,2693.0,No,Travel_Rarely,1358,,24,1,Life Sciences,11.0,4,Male,67,3,1,Laboratory Technician,3,Divorced,13335.0,1,No,22.0,4.0,2,1,1,2,3,1,0,0,0
38,9526.0,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12.0,4,Male,44,2,3,Manufacturing Director,3,Single,8787.0,0,No,21.0,4.0,2,0,10,2,3,9,7,1,8
36,5237.0,No,Travel_Rarely,1299,Research & Development,27,3,Medical,13.0,3,Male,94,3,2,Healthcare Representative,3,Married,16577.0,6,No,13.0,3.0,2,2,17,3,2,7,7,7,7
35,2426.0,No,Travel_Rarely,809,Research & Development,16,3,Medical,14.0,1,Male,84,4,1,Laboratory Technician,2,Married,16479.0,0,No,13.0,3.0,3,1,6,5,3,5,4,0,3
29,4193.0,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15.0,4,Female,49,2,2,Laboratory Technician,3,Single,12682.0,0,Yes,12.0,3.0,4,0,10,3,3,9,5,0,8
31,2911.0,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16.0,1,Male,31,3,1,Research Scientist,3,Divorced,15170.0,1,No,17.0,3.0,4,1,5,1,2,5,2,4,3
34,2661.0,No,Travel_Rarely,1346,Research & Development,19,2,Medical,18.0,2,Male,93,3,1,Laboratory Technician,4,Divorced,8758.0,0,No,11.0,3.0,3,1,3,2,3,2,2,1,2
28,2028.0,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19.0,3,Male,50,2,1,Laboratory Technician,3,Single,12947.0,5,Yes,14.0,3.0,2,0,6,4,3,4,2,0,3
29,9980.0,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20.0,2,Female,51,4,3,Manufacturing Director,1,Divorced,10195.0,1,No,11.0,3.0,3,1,10,1,3,10,9,8,8
