Fecha,Hora,Noroeste PM10,Noroeste monóxido de carbono,Noreste PM10,Noreste monóxido de carbono,Centro PM10,Centro monóxido de carbono,Suroeste PM10,Suroeste monóxido de carbono,Sureste PM10,Sureste monóxido de carbono
01/01/2016,1,108,13.0,117,16.0,107,16.0,67,9.0,107.0,11.0
01/01/2016,2,110,13.0,122,18.0,107,17.0,70,9.0,107.0,12.0
01/01/2016,3,113,14.0,124,19.0,109,18.0,76,10.0,108.0,13.0
01/01/2016,4,115,14.0,126,19.0,110,19.0,83,10.0,107.0,14.0
01/01/2016,5,116,15.0,127,20.0,112,17.0,90,11.0,108.0,14.0
01/01/2016,6,117,15.0,129,19.0,113,16.0,94,11.0,109.0,14.0
01/01/2016,7,119,15.0,130,19.0,114,16.0,100,12.0,111.0,13.0
01/01/2016,8,121,15.0,132,19.0,115,15.0,102,12.0,112.0,13.0
01/01/2016,9,123,15.0,133,18.0,116,15.0,102,12.0,114.0,14.0
01/01/2016,10,126,15.0,133,17.0,117,14.0,102,12.0,115.0,13.0
01/01/2016,11,128,15.0,135,16.0,118,13.0,103,12.0,117.0,12.0
01/01/2016,12,130,15.0,137,15.0,120,13.0,105,12.0,118.0,12.0
01/01/2016,13,133,14.0,138,15.0,122,13.0,106,11.0,119.0,12.0
01/01/2016,14,133,13.0,139,14.0,123,13.0,106,11.0,119.0,11.0
01/01/2016,15,132,13.0,138,13.0,124,12.0,107,10.0,119.0,10.0
01/01/2016,16,132,12.0,137,11.0,124,11.0,107,9.0,120.0,8.0
01/01/2016,17,132,11.0,137,10.0,123,10.0,108,8.0,119.0,7.0
01/01/2016,18,132,10.0,137,9.0,123,9.0,108,7.0,119.0,6.0
01/01/2016,19,132,9.0,136,8.0,124,9.0,107,6.0,117.0,6.0
01/01/2016,20,132,8.0,136,8.0,123,8.0,107,6.0,117.0,5.0
01/01/2016,21,132,8.0,136,7.0,122,8.0,107,6.0,116.0,5.0
01/01/2016,22,131,8.0,135,7.0,122,7.0,107,6.0,116.0,6.0
01/01/2016,23,130,7.0,134,8.0,121,7.0,107,6.0,116.0,6.0
01/01/2016,24,129,7.0,133,8.0,121,7.0,106,5.0,115.0,6.0
02/01/2016,1,129,7.0,132,8.0,121,7.0,106,5.0,113.0,6.0
02/01/2016,2,128,7.0,130,7.0,120,6.0,107,5.0,111.0,6.0
02/01/2016,3,126,7.0,126,7.0,119,6.0,106,5.0,108.0,6.0
02/01/2016,4,123,7.0,121,7.0,117,6.0,106,5.0,105.0,5.0
02/01/2016,5,119,7.0,118,6.0,116,5.0,106,5.0,103.0,5.0
02/01/2016,6,117,7.0,115,6.0,112,5.0,106,5.0,102.0,5.0
02/01/2016,7,114,7.0,112,6.0,110,5.0,90,5.0,97.0,5.0
02/01/2016,8,112,7.0,110,7.0,108,6.0,87,5.0,90.0,7.0
02/01/2016,9,110,7.0,107,7.0,106,6.0,86,5.0,87.0,7.0
02/01/2016,10,107,8.0,105,7.0,105,7.0,84,5.0,81.0,8.0
02/01/2016,11,104,8.0,103,8.0,102,7.0,83,5.0,78.0,8.0
02/01/2016,12,101,9.0,99,8.0,96,7.0,78,5.0,74.0,8.0
02/01/2016,13,93,9.0,88,8.0,87,8.0,74,5.0,68.0,8.0
02/01/2016,14,87,9.0,80,8.0,77,8.0,74,6.0,65.0,8.0
02/01/2016,15,86,10.0,77,8.0,70,8.0,73,6.0,64.0,7.0
